Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
   59     2.4    24.3    10.6    0.00    0.00    0.00    0.00    0.58    0.53    0.24    0.29  251.21   1.732   1.000   1.000
   60     2.4    25.5    12.9    0.00    0.00    0.00    0.00    0.47    0.55    0.24    0.31  250.19   1.725   1.000   1.000
   61     2.4    24.3    11.0    0.00    0.00    0.00    0.00    0.37    0.53    0.22    0.31  249.29   1.719   1.000   1.000
   62     2.4    26.3    13.3    0.00    0.00    0.00    0.00    0.28    0.55    0.23    0.33  248.46   1.713   1.000   1.000
   63     2.4    26.7    15.3    0.00    0.00    0.00    0.00    0.20    0.56    0.23    0.34  247.70   1.708   1.000   1.000
   64     2.4    27.5    15.7    0.00    0.00    0.00    0.00    0.12    0.57    0.22    0.35  247.01   1.703   1.000   1.000
   65     2.4    23.9    17.6    0.20    0.00    0.00    0.20    0.05    0.55    0.21    0.35  246.60   1.701   1.000   1.000
   66     2.4    23.1    17.3   23.80    0.00    0.00   23.80    0.01    0.55    0.20    0.35  269.84   1.861   1.000   1.000
   67     2.4    18.0    16.5    0.40    0.00    0.00    0.40    2.33    0.51    0.18    0.33  267.40   1.844   1.000   1.000
   68     2.4    21.2    12.1    0.00    0.00    0.00    0.00    2.09    0.51    0.18    0.33  264.80   1.826   1.000   1.000
   69     2.4    22.0    13.3    0.00    0.00    0.00    0.00    1.83    0.52    0.18    0.34  262.45   1.810   1.000   1.000
   70     2.4    20.0    12.5    0.00    0.00    0.00    0.00    1.59    0.50    0.17    0.34  260.35   1.796   1.000   1.000
   71     2.4    16.9    16.9    0.00    0.00    0.00    0.00    1.38    0.50    0.16    0.34  258.46   1.782   1.000   1.000
   72     2.4    17.3    17.3    0.00    0.00    0.00    0.00    1.20    0.51    0.16    0.35  256.76   1.771   1.000   1.000
   73     2.4    22.7    22.7    0.00    0.00    0.00    0.00    1.03    0.57    0.18    0.39  255.17   1.760   1.000   1.000
   74     2.4    21.2    17.3    5.80    0.00    0.00    5.80    0.87    0.53    0.16    0.37  259.57   1.790   1.000   1.000
   75     2.4    23.5    12.5    2.60    0.00    0.00    2.60    1.31    0.52    0.15    0.37  260.34   1.795   1.000   1.000
   76     2.4    20.0     5.5    0.00    0.00    0.00    0.00    1.38    0.47    0.13    0.34  258.48   1.783   1.000   1.000
   77     2.4    18.4     2.7    0.00    0.00    0.00    0.00    1.20    0.45    0.13    0.32  256.84   1.771   1.000   1.000
   78     2.4    21.6     8.2    0.00    0.00    0.00    0.00    1.03    0.49    0.14    0.36  255.31   1.761   1.000   1.000
   79     2.4    23.5    10.6    0.00    0.00    0.00    0.00    0.88    0.52    0.14    0.38  253.91   1.751   1.000   1.000
   80     2.4    23.5    14.1    0.00    0.00    0.00    0.00    0.74    0.53    0.14    0.39  252.64   1.742   1.000   1.000
   81     2.4    22.7    13.7    1.00    0.00    0.00    1.00    0.61    0.52    0.13    0.39  252.50   1.741   1.000   1.000
   82     2.4    21.6    13.3    0.00    0.00    0.00    0.00    0.60    0.51    0.13    0.39  251.39   1.734   1.000   1.000
   83     2.4    24.3    14.1    0.00    0.00    0.00    0.00    0.49    0.53    0.13    0.41  250.37   1.727   1.000   1.000
   84     2.4    24.3    12.1    0.00    0.00    0.00    0.00    0.39    0.53    0.12    0.40  249.46   1.720   1.000   1.000
   85     2.4    17.3    11.8    4.80    0.00    0.00    4.80    0.30    0.48    0.11    0.37  253.48   1.748   1.000   1.000
   86     2.4    19.2    13.3    0.00    0.00    0.00    0.00    0.70    0.50    0.11    0.39  252.29   1.740   1.000   1.000
   87     2.4    20.4     9.8    0.20    0.00    0.00    0.20    0.58    0.49    0.11    0.38  251.42   1.734   1.000   1.000
   88     2.4    18.8     7.8    0.00    0.00    0.00    0.00    0.49    0.47    0.10    0.37  250.46   1.727   1.000   1.000
   89     2.4    20.8     3.9    0.20    0.00    0.00    0.20    0.40    0.47    0.10    0.37  249.80   1.723   1.000   1.000
   90     2.4    20.4     7.8    0.00    0.00    0.00    0.00    0.33    0.48    0.10    0.38  248.99   1.717   1.000   1.000
   91     2.4    17.3     6.7    0.00    0.00    0.00    0.00    0.25    0.45    0.09    0.36  248.28   1.712   1.000   1.000
   92     2.4    21.2    10.2    0.00    0.00    0.00    0.00    0.18    0.49    0.10    0.40  247.61   1.708   1.000   1.000
   93     2.4    16.5    12.1   22.20    0.00    0.00   22.20    0.11    0.47    0.09    0.38  269.23   1.857   1.000   1.000
   94     2.4    19.6     8.6    0.60    0.00    0.00    0.60    2.27    0.48    0.09    0.39  267.08   1.842   1.000   1.000
   95     2.4    20.4     5.9    0.00    0.00    0.00    0.00    2.06    0.47    0.09    0.38  264.55   1.824   1.000   1.000
   96     2.4    22.0     7.4    0.00    0.00    0.00    0.00    1.81    0.49    0.09    0.40  262.26   1.809   1.000   1.000
   97     2.4    23.1    12.5    0.80    0.00    0.00    0.80    1.58    0.52    0.09    0.43  260.97   1.800   1.000   1.000
   98     2.4    25.5    13.7    2.20    0.00    0.00    2.20    1.45    0.54    0.09    0.45  261.18   1.801   1.000   1.000
   99     2.4    25.9    13.7    0.40    0.00    0.00    0.40    1.47    0.54    0.09    0.45  259.58   1.790   1.000   1.000
  100     2.4    26.7    12.9    0.00    0.00    0.00    0.00    1.31    0.54    0.09    0.45  257.73   1.777   1.000   1.000
  101     2.4    22.4    13.3    2.00    0.00    0.00    2.00    1.12    0.51    0.08    0.44  258.09   1.780   1.000   1.000
  102     2.4    18.4     6.3    0.00    0.00    0.00    0.00    1.16    0.46    0.07    0.39  256.48   1.769   1.000   1.000
  103     2.4    17.6     8.2    0.00    0.00    0.00    0.00    1.00    0.46    0.07    0.39  255.02   1.759   1.000   1.000
  104     2.4    18.4     6.3    0.00    0.00    0.00    0.00    0.85    0.46    0.07    0.39  253.71   1.750   1.000   1.000
  105     2.4    19.6     9.4    0.00    0.00    0.00    0.00    0.72    0.48    0.07    0.41  252.51   1.741   1.000   1.000
  106     2.4    20.8    11.8    0.00    0.00    0.00    0.00    0.60    0.50    0.07    0.43  251.41   1.734   1.000   1.000
  107     2.4    21.2     9.0    0.00    0.00    0.00    0.00    0.49    0.49    0.06    0.42  250.44   1.727   1.000   1.000
  108     2.4    23.1    12.5    1.20    0.00    0.00    1.20    0.39    0.51    0.07    0.45  250.73   1.729   1.000   1.000
